--------------------------------------------------------------------------------
ROSMOD::DEBUG::1436820155748450224::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820155748586219::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820156748884919::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820156748950089::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820157748137200::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820157748245220::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820158748676064::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820158748796588::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820159749194110::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820159749396698::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820160748688594::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820160748732778::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820161749058719::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820161749199665::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820162748526562::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820162748616885::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820163748846219::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820163748912544::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820164749245510::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820164749375145::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820165748617512::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820165748682030::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820166748952525::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820166749002075::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820167748249741::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820167748412608::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820168748726856::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820168748831984::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820169749033051::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820169749112696::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820170748500297::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820170748634021::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820171748975208::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820171749198419::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
